Company,Organization,Date,Headline,Article,Relevance
GOOGL,Alphabet Inc,26-02-2015,Google to show ads for apps on Google Play ,Feb 26 Google Inc said it will allow some Google Play users to see advertisements for apps in the coming weeks.,normal
GOOGL,Alphabet Inc,26-02-2015,Google invests $300 million in U.S. residential solar projects ,SolarCity Corp on Thursday said it created a $750 million fund to finance about 25 000 residential solar projects  with Google Inc investing nearly half the funding.,normal
GOOGL,Alphabet Inc,26-02-2015,Google invests $300 million in U.S. residential solar projects ,Feb 26 SolarCity Corp on Thursday said it created a $750 million fund to finance about 25 000 residential solar projects  with Google Inc investing nearly half the funding.,normal
GOOGL,Alphabet Inc,26-02-2015,UPDATE 1-Beset by regulation  Google merges European divisions - source ,Feb 26 Google Inc has combined its two European regional divisions as it seeks to meet the challenges of tougher regulation across the continent  a source close to the company said on Thursday.,normal
GOOG,Alphabet Inc,02-03-2015,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,topStory
GOOG,Alphabet Inc,02-03-2015,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOG,Alphabet Inc,02-03-2015,UPDATE 1-Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO  March 2 A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc   Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOG,Alphabet Inc,02-03-2015,Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOG,Alphabet Inc,02-03-2015,UPDATE 1-Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOG,Alphabet Inc,02-03-2015,Large Google investor cuts stake amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly 29 percent over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,02-03-2015,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,topStory
GOOGL,Alphabet Inc,02-03-2015,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOGL,Alphabet Inc,02-03-2015,UPDATE 1-Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO  March 2 A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc   Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOGL,Alphabet Inc,02-03-2015,Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,02-03-2015,UPDATE 1-Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,02-03-2015,Large Google investor cuts stake amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly 29 percent over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOG,Alphabet Inc,03-03-2015,EU's antitrust chief has met Google's Schmidt ,BRUSSELS The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOG,Alphabet Inc,03-03-2015,EU's antitrust chief has met Google's Schmidt ,BRUSSELS  March 3 The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOGL,Alphabet Inc,03-03-2015,EU's antitrust chief has met Google's Schmidt ,BRUSSELS The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOGL,Alphabet Inc,03-03-2015,EU's antitrust chief has met Google's Schmidt ,BRUSSELS  March 3 The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOG,Alphabet Inc,04-03-2015,BRIEF-U.S. judge approves $415 mln settlement in Apple  Google no-poach case ,* U.S. judge grants preliminary approval to $415 mln class action settlement over no-poach allegations against Apple   Google  Intel and Adobe -,topStory
GOOGL,Alphabet Inc,04-03-2015,BRIEF-U.S. judge approves $415 mln settlement in Apple  Google no-poach case ,* U.S. judge grants preliminary approval to $415 mln class action settlement over no-poach allegations against Apple   Google  Intel and Adobe -,topStory
GOOG,Alphabet Inc,09-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,topStory
GOOG,Alphabet Inc,09-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK  March 9 The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,normal
GOOGL,Alphabet Inc,09-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,topStory
GOOGL,Alphabet Inc,09-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK  March 9 The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,normal
GOOG,Alphabet Inc,10-03-2015,UPDATE 2-Google CFO retiring  leaves spreadsheets for backpack ,March 10 Google Inc's  finance chief said on Tuesday that he plans to retire  the latest in a series of changes in the company's upper ranks but a move that some analysts said was unlikely to cause major disruptions.,topStory
GOOG,Alphabet Inc,10-03-2015,Google says CFO Patrick Pichette to retire ,Google Inc said on Tuesday that Chief Financial Officer Patrick Pichette has announced his intention to retire  marking the latest change to the Internet company's upper ranks.,normal
GOOG,Alphabet Inc,10-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,normal
GOOGL,Alphabet Inc,10-03-2015,UPDATE 2-Google CFO retiring  leaves spreadsheets for backpack ,March 10 Google Inc's  finance chief said on Tuesday that he plans to retire  the latest in a series of changes in the company's upper ranks but a move that some analysts said was unlikely to cause major disruptions.,topStory
GOOGL,Alphabet Inc,10-03-2015,Google says CFO Patrick Pichette to retire ,Google Inc said on Tuesday that Chief Financial Officer Patrick Pichette has announced his intention to retire  marking the latest change to the Internet company's upper ranks.,normal
GOOGL,Alphabet Inc,10-03-2015,Former Google exec Lee confirmed to lead U.S. patent office ,NEW YORK The U.S. Senate on Monday confirmed former Google Inc executive Michelle Lee to head the U.S. Patent and Trademark Office  a position that has been vacant for more than two years.,normal
GOOG,Alphabet Inc,11-03-2015,Google launches cloud service for 'cold data' ,"March 11 Google Inc introduced a cloud storage service for users to store ""cold data"" and access it much faster than traditional services.",topStory
GOOG,Alphabet Inc,11-03-2015,Google CFO retiring  leaves spreadsheets for backpack ,Google Inc's finance chief said on Tuesday that he plans to retire  the latest in a series of changes in the company's upper ranks but a move that some analysts said was unlikely to cause major disruptions.,normal
GOOGL,Alphabet Inc,11-03-2015,Google launches cloud service for 'cold data' ,"March 11 Google Inc introduced a cloud storage service for users to store ""cold data"" and access it much faster than traditional services.",topStory
GOOGL,Alphabet Inc,11-03-2015,Google CFO retiring  leaves spreadsheets for backpack ,Google Inc's finance chief said on Tuesday that he plans to retire  the latest in a series of changes in the company's upper ranks but a move that some analysts said was unlikely to cause major disruptions.,normal
